file,zip
gpw_v4_basic_demographic_characteristics_bt_cntm_15_min.nc,gpw-v4-basic-demographic-characteristics-rev10_bt_cntm_15_min_nc.zip
gpw_v4_basic_demographic_characteristics_bt_cntm_1_deg.nc,gpw-v4-basic-demographic-characteristics-rev10_bt_cntm_1_deg_nc.zip
gpw_v4_basic_demographic_characteristics_bt_cntm_2pt5_min.nc,gpw-v4-basic-demographic-characteristics-rev10_bt_cntm_2pt5_min_nc.zip
gpw_v4_basic_demographic_characteristics_bt_cntm_30_min.nc,gpw-v4-basic-demographic-characteristics-rev10_bt_cntm_30_min_nc.zip
gpw_v4_basic_demographic_characteristics_bt_dens_15_min.nc,gpw-v4-basic-demographic-characteristics-rev10_bt_dens_15_min_nc.zip
gpw_v4_basic_demographic_characteristics_bt_dens_1_deg.nc,gpw-v4-basic-demographic-characteristics-rev10_bt_dens_1_deg_nc.zip
gpw_v4_basic_demographic_characteristics_bt_dens_2pt5_min.nc,gpw-v4-basic-demographic-characteristics-rev10_bt_dens_2pt5_min_nc.zip
gpw_v4_basic_demographic_characteristics_bt_dens_30_min.nc,gpw-v4-basic-demographic-characteristics-rev10_bt_dens_30_min_nc.zip
gpw_v4_basic_demographic_characteristics_ft_cntm_15_min.nc,gpw-v4-basic-demographic-characteristics-rev10_ft_cntm_15_min_nc.zip
gpw_v4_basic_demographic_characteristics_ft_cntm_1_deg.nc,gpw-v4-basic-demographic-characteristics-rev10_ft_cntm_1_deg_nc.zip
gpw_v4_basic_demographic_characteristics_ft_cntm_2pt5_min.nc,gpw-v4-basic-demographic-characteristics-rev10_ft_cntm_2pt5_min_nc.zip
gpw_v4_basic_demographic_characteristics_ft_cntm_30_min.nc,gpw-v4-basic-demographic-characteristics-rev10_ft_cntm_30_min_nc.zip
gpw_v4_basic_demographic_characteristics_ft_dens_15_min.nc,gpw-v4-basic-demographic-characteristics-rev10_ft_dens_15_min_nc.zip
gpw_v4_basic_demographic_characteristics_ft_dens_1_deg.nc,gpw-v4-basic-demographic-characteristics-rev10_ft_dens_1_deg_nc.zip
gpw_v4_basic_demographic_characteristics_ft_dens_2pt5_min.nc,gpw-v4-basic-demographic-characteristics-rev10_ft_dens_2pt5_min_nc.zip
gpw_v4_basic_demographic_characteristics_ft_dens_30_min.nc,gpw-v4-basic-demographic-characteristics-rev10_ft_dens_30_min_nc.zip
gpw_v4_basic_demographic_characteristics_mt_cntm_15_min.nc,gpw-v4-basic-demographic-characteristics-rev10_mt_cntm_15_min_nc.zip
gpw_v4_basic_demographic_characteristics_mt_cntm_1_deg.nc,gpw-v4-basic-demographic-characteristics-rev10_mt_cntm_1_deg_nc.zip
gpw_v4_basic_demographic_characteristics_mt_cntm_2pt5_min.nc,gpw-v4-basic-demographic-characteristics-rev10_mt_cntm_2pt5_min_nc.zip
gpw_v4_basic_demographic_characteristics_mt_cntm_30_min.nc,gpw-v4-basic-demographic-characteristics-rev10_mt_cntm_30_min_nc.zip
gpw_v4_basic_demographic_characteristics_mt_dens_15_min.nc,gpw-v4-basic-demographic-characteristics-rev10_mt_dens_15_min_nc.zip
gpw_v4_basic_demographic_characteristics_mt_dens_1_deg.nc,gpw-v4-basic-demographic-characteristics-rev10_mt_dens_1_deg_nc.zip
gpw_v4_basic_demographic_characteristics_mt_dens_2pt5_min.nc,gpw-v4-basic-demographic-characteristics-rev10_mt_dens_2pt5_min_nc.zip
gpw_v4_basic_demographic_characteristics_mt_dens_30_min.nc,gpw-v4-basic-demographic-characteristics-rev10_mt_dens_30_min_nc.zip
gpw_v4_e_atotpopbt_cntm_15_min.nc,gpw-v4-population-count-rev10_totpop_15_min_nc.zip
gpw_v4_e_atotpopbt_cntm_1_deg.nc,gpw-v4-population-count-rev10_totpop_1_deg_nc.zip
gpw_v4_e_atotpopbt_cntm_2pt5_min.nc,gpw-v4-population-count-rev10_totpop_2pt5_min_nc.zip
gpw_v4_e_atotpopbt_cntm_30_min.nc,gpw-v4-population-count-rev10_totpop_30_min_nc.zip
gpw_v4_e_atotpopbt_dens_15_min.nc,gpw-v4-population-density-rev10_totpop_15_min_nc.zip
gpw_v4_e_atotpopbt_dens_1_deg.nc,gpw-v4-population-density-rev10_totpop_1_deg_nc.zip
gpw_v4_e_atotpopbt_dens_2pt5_min.nc,gpw-v4-population-density-rev10_totpop_2pt5_min_nc.zip
gpw_v4_e_atotpopbt_dens_30_min.nc,gpw-v4-population-density-rev10_totpop_30_min_nc.zip
gpw_v4_une_atotpopbt_cntm_15_min.nc,gpw-v4-population-count-adjusted-to-2015-unwpp-country-totals-rev10_totpop_15_min_nc.zip
gpw_v4_une_atotpopbt_cntm_1_deg.nc,gpw-v4-population-count-adjusted-to-2015-unwpp-country-totals-rev10_totpop_1_deg_nc.zip
gpw_v4_une_atotpopbt_cntm_2pt5_min.nc,gpw-v4-population-count-adjusted-to-2015-unwpp-country-totals-rev10_totpop_2pt5_min_nc.zip
gpw_v4_une_atotpopbt_cntm_30_min.nc,gpw-v4-population-count-adjusted-to-2015-unwpp-country-totals-rev10_totpop_30_min_nc.zip
gpw_v4_une_atotpopbt_dens_15_min.nc,gpw-v4-population-density-adjusted-to-2015-unwpp-country-totals-rev10_totpop_15_min_nc.zip
gpw_v4_une_atotpopbt_dens_1_deg.nc,gpw-v4-population-density-adjusted-to-2015-unwpp-country-totals-rev10_totpop_1_deg_nc.zip
gpw_v4_une_atotpopbt_dens_2pt5_min.nc,gpw-v4-population-density-adjusted-to-2015-unwpp-country-totals-rev10_totpop_2pt5_min_nc.zip
gpw_v4_une_atotpopbt_dens_30_min.nc,gpw-v4-population-density-adjusted-to-2015-unwpp-country-totals-rev10_totpop_30_min_nc.zip
